emp_no,birth_date,first_name,last_name,gender,hire_date
10001,1953-09-02,Georgi,Facello,M,1986-06-26
10003,1959-12-03,Parto,Bamford,M,1986-08-28
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12
10006,1953-04-20,Anneke,Preusig,F,1989-06-02
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15
10009,1952-04-19,Sumant,Peac,F,1985-02-18
10011,1953-11-07,Mary,Sluis,F,1990-01-22
10014,1956-02-12,Berni,Genin,M,1987-03-11
10015,1959-08-19,Guoxiang,Nooteboom,M,1987-07-02
10017,1958-07-06,Cristinel,Bouloucos,F,1993-08-03
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03
10019,1953-01-23,Lillian,Haddadi,M,1999-04-30
10020,1952-12-24,Mayuko,Warwick,M,1991-01-26
10022,1952-07-08,Shahaf,Famili,M,1995-08-22
10023,1953-09-29,Bojan,Montemayor,F,1989-12-17
10024,1958-09-05,Suzette,Pettey,F,1997-05-19
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17
10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20
10029,1956-12-13,Otmar,Herbst,M,1985-11-20
10030,1958-07-14,Elvis,Demeyer,M,1994-02-17
10031,1959-01-27,Karsten,Joslin,M,1991-09-01
10033,1956-11-14,Arif,Merlo,M,1987-03-18
10035,1953-02-08,Alain,Chappelet,M,1988-09-05
10036,1959-08-10,Adamantios,Portugali,M,1992-01-03
10039,1959-10-01,Alejandro,Brender,M,1988-01-19
10040,1959-09-13,Weiyi,Meriste,F,1993-02-14
10041,1959-08-27,Uri,Lenart,F,1989-11-12
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21
10045,1957-08-14,Moss,Shanbhogue,M,1989-09-02
10047,1952-06-29,Zvonko,Nyanchama,M,1989-03-31
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15
10053,1954-09-13,Sanjiv,Zschoche,F,1986-02-04
10054,1957-04-04,Mayumi,Schueller,M,1995-03-13
10055,1956-06-06,Georgy,Dredge,M,1992-04-27
10057,1954-05-30,Ebbe,Callaway,F,1992-01-15
10058,1954-10-01,Berhard,McFarlin,M,1987-04-13
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26
10063,1952-08-06,Gino,Leonhardt,F,1989-04-08
10064,1959-04-07,Udi,Jansch,M,1985-11-20
10066,1952-11-13,Kwee,Schusler,M,1986-02-26
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04
10070,1955-08-20,Reuven,Garigliano,M,1985-10-14
10071,1958-01-21,Hisao,Lipner,M,1987-10-01
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21
10073,1954-02-23,Shir,McClurg,M,1991-12-01
10074,1955-08-28,Mokhtar,Bernatsky,F,1990-08-13
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09
10078,1959-12-25,Danel,Mondadori,F,1987-05-26
10080,1957-12-03,Premal,Baek,M,1985-11-19
10083,1959-07-23,Vishv,Zockler,M,1987-03-31
10087,1959-07-23,Xinglin,Eugenio,F,1986-09-08
10088,1954-02-25,Jungsoon,Syrzycki,F,1988-09-02
10091,1955-10-04,Amabile,Gomatam,M,1992-11-18
10094,1957-05-25,Arumugam,Ossenbruggen,F,1987-04-18
10096,1954-09-16,Jayson,Mandell,M,1990-01-14
10097,1952-02-27,Remzi,Waschkowski,M,1990-09-15
10099,1956-05-25,Valter,Sullins,F,1988-10-18
10100,1953-04-21,Hironobu,Haraldson,F,1987-09-21
10101,1952-04-15,Perla,Heyers,F,1992-12-28
10102,1959-11-04,Paraskevi,Luby,F,1994-01-26
10103,1953-11-26,Akemi,Birch,M,1986-12-02
10106,1952-08-29,Eben,Aingworth,M,1990-12-19
10107,1956-06-13,Dung,Baca,F,1994-03-22
10108,1952-04-07,Lunjin,Giveon,M,1986-10-02
10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16
10110,1957-03-07,Xuejia,Ullian,F,1986-08-22
10114,1957-02-16,Munir,Demeyer,F,1992-07-17
10116,1955-08-26,Dayanand,Czap,F,1985-05-28
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13
10125,1957-09-13,Syozo,Hiltgen,F,1990-10-26
